TIME TABLE FOR Spring 2019 SEMESTER [CS Department] <V1.8>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periods,,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,10,20,30,40,50,60,30
,Micro Lab,Digital Logic Design Lab (CS-D2) ,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-E2) ,,,,,,,,,,,,,,,,,,____________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,________________________________,,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,___________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________,,______________________,,,,,,,___________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________,,______________________,,,,,,,___________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,CS-1,______________________,,,,,,,,,______________________,,,,,,,,,Cloud Computing (MS),,,,,,,,,Theory of Automata - II (MS),,,,,,,,,Advanced Computer Architecture (MS),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,Computer Networks (CS-B),,,,,,,,,Computer Networks (CS-A),,,,,,,,,Communication & Presentation Skills  (CS-C2),,,,,,,,,________________________________,,,,,,,,,Social Network Analysis (MS-DS),,,,,,,,,Technical & Business Writing (CS-B),,,,,,,,,_______________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,______________________,,,,,,,,,Computer Programming (CS),,,,,,,,,Operating Systems (CS-C),,,,,,,,,Operating Systems (CS-D),,,,,,,,,Design & Analysis of Algorithms (CS-B),,,,,,,,,Enterprise Information System (CS),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,______________________,,,,,,,,,Data Structures (CS-A),,,,,,,,,Data Structures (CS-B),,,,,,,,,Operating Systems (CS-E),,,,,,,,,Professional Issues in IT (CS-C),,,,,,,,,Philosophy (CS),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,Differential Equations (Cal II) (CS-A),,,,,,,,,Data Structures (CS-C),,,,,,,,,Differential Equations (Cal II) (CS-B),,,,,,,,,Operating Systems (CS-A),,,,,,,,,Operating Systems (CS-B),,,,,,,,,Organizational Behavior (CS),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,Technical & Business Writing (CS-E),,,,,,,,,Programming Fundamentals (CS-G),,,,,,,,,Programming Fundamentals (CS-H),,,,,,,,,Data Science (CS-A),,,,,,,,,Data Science (CS-B),,,,,,,,,Compiler Construction (CS),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,______________________,,,,,,,,,______________________,,,,,,,,,Design & Analysis of Algorithms (CS-A),,,,,,,,,Pakistan Studies (CS-D),,,,,,,,,Pakistan Studies (CS-C),,,,,,,,,Entrepreneurship (CS),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,Technical & Business Writing (CS-D),,,,,,,,,Web Programming (CS-A),,,,,,,,,Web Programming (CS-B),,,,,,,,,Digital Logic Design (CS-E) ,,,,,,,,,Digital Logic Design (CS-F) ,,,,,,,,,Pakistan Studies (CS-F),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,Software Testing (CS-B),,,,,,,,,Artificial Intelligence (CS-B),,,,,,,,,Advance Database Concepts (CS),,,,,,,,,Artificial Intelligence (CS-A),,,,,,,,,Object Oriented Programming (CS-B),,,,,,,,,Artificial Intelligence (CS-E),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,Artificial Intelligence (CS-C),,,,,,,,,Artificial Intelligence (CS-D),,,,,,,,,Numerical Methods (CS-D),,,,,,,,,Information Retrieval (CS),,,,,,,,,Human Computer Interaction (CS-D),,,,,,,,,Artificial Intelligence (CS-F),,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,______________________,,,,,,,,,______________________,,,,,,,,,Object Oriented Programming (CS-A),,,,,,,,,Human Computer Interaction (CS-B),,,,,,,,,Human Computer Interaction (CS-A),,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,Pakistan Studies (CS-E),,,,,,,,,Software Engineering (CS-B),,,,,,,,,Software Engineering (CS-A),,,,,,,,,Digital Logic Design (CS-H) ,,,,,,,,,Digital Logic Design (CS-G) ,,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,Digital Logic Design (CS-D) ,,,,,,,,,______________________,,,,,,,,,Communication & Presentation Skills  (CS-C1),,,,,,,,,________________________________,,,,,,,,,Communication & Presentation Skills (CS-D1),,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seminar Hall,"Research Methodology (MS-A & MS-B)",,,,,,,,,______________________,,,,,,,,,Programming Fundamentals (CS-I),,,,,,,,,Human Computer Interaction (CS-E),,,,,,,,,Communication & Presentation Skills  (CS-D2),,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,Pakistan Studies (CS-H),,,,,,,,,Differential Equations (Cal II) (CS-E),,,,,,,,,________________________________,,,,,,,,,________________________________,,,,,,,,,______________________,______________________,,,,,,,,______________________,______________________,,,,,,,,________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),Database Systems Lab (CS-C1&CS-C2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,Object Oriented Programming Lab (CS-A1&CS-A2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),____________________________________________,,,,,,,,,,,,,,,,,,Design & Analysis of Algorithms (CS-F),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),Database Systems Lab (CS-D1&CS-D2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),Operating Systems Lab (CS-A1&CS-A2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-10),Operating Systems Lab (CS-B1&CS-B2),,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,Digital Logic Design Lab (CS-F1) ,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-G2) ,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,Digital Logic Design Lab (CS-F2) ,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,______________________,______________________,________________,_______,,,,,,________________________________,,,,,,,,,______________________,,______________________,,,,,,,___________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,______________________,______________________,________________,_______,,,,,,________________________________,,,,,,,,,______________________,,______________________,,,,,,,___________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,______________________,______________________,________________,_______,,,,,,________________________________,,,,,,,,,______________________,,______________________,,,,,,,___________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,______________________,,,,,,,,,,______________________,,,,,,,,,________________________________,,,,,,,,,______________________,______________________,________________,_______,,,,,,________________________________,,,,,,,,,______________________,,______________________,,,,,,,___________________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
